,Car_type,Fuel_type,Drive,Fuel_consumtion,vehicle_brand,Transmission,cylinder,cubic_capacity
31089,Small Sport Utility Vehicle 4WD,Regular,All-Wheel Drive,17.3478947368421,Ford,Automatic (S6),6.0,3.5
31090,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,16.4805,Jeep,Manual 4-spd,4.0,2.5
31091,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,17.3478947368421,Jeep,Manual 5-spd,4.0,2.5
31092,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,20.600625,Jeep,Automatic 4-spd,6.0,4.0
31093,Compact Cars,Regular,Front-Wheel Drive,13.73375,Subaru,Automatic 3-spd,4.0,1.8
31094,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,19.3888235294118,Jeep,Manual 5-spd,6.0,4.0
31095,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,20.600625,Jeep,Automatic 3-spd,6.0,4.2
31096,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,21.974,Jeep,Manual 4-spd,6.0,4.2
31097,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,29.9645454545455,Jeep,Automatic 3-spd,8.0,5.9
31098,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,29.9645454545455,Jeep,Automatic 3-spd,8.0,5.9
31099,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,18.3116666666667,Mitsubishi,Automatic 4-spd,4.0,2.6
31100,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,18.3116666666667,Mitsubishi,Manual 5-spd,4.0,2.6
31101,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,17.3478947368421,Toyota,Manual 5-spd,4.0,2.4
31102,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,18.3116666666667,Toyota,Manual 5-spd,4.0,2.4
31103,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,17.3478947368421,Toyota,Automatic 4-spd,4.0,2.4
31104,Compact Cars,Regular,Front-Wheel Drive,10.987,Subaru,Manual 4-spd,4.0,1.8
31105,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,18.3116666666667,Toyota,Manual 5-spd,4.0,2.4
31106,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,16.4805,Toyota,Manual 5-spd,4.0,2.4
31107,Vans,Regular,Rear-Wheel Drive,17.3478947368421,Chevrolet,Automatic 4-spd,4.0,2.5
31108,Vans,Regular,Rear-Wheel Drive,16.4805,Chevrolet,Manual 4-spd,4.0,2.5
31109,Vans,Regular,Rear-Wheel Drive,15.6957142857143,Chevrolet,Manual 5-spd,4.0,2.5
31110,Vans,Regular,Rear-Wheel Drive,19.3888235294118,Chevrolet,Automatic 4-spd,6.0,4.3
31111,Vans,Regular,Rear-Wheel Drive,18.3116666666667,Chevrolet,Manual 5-spd,6.0,4.3
31112,Vans,Regular,Rear-Wheel Drive,21.974,Chevrolet,Automatic 3-spd,6.0,4.3
31113,Vans,Regular,Rear-Wheel Drive,20.600625,Chevrolet,Automatic 4-spd,6.0,4.3
31114,Vans,Regular,Rear-Wheel Drive,19.3888235294118,Chevrolet,Manual 3-spd,6.0,4.3
31115,Compact Cars,Regular,Front-Wheel Drive,12.6773076923077,Subaru,Manual 5-spd,4.0,1.8
31116,Vans,Regular,Rear-Wheel Drive,23.5435714285714,Chevrolet,Automatic 3-spd,8.0,5.0
31117,Vans,Regular,Rear-Wheel Drive,23.5435714285714,Chevrolet,Automatic 4-spd,8.0,5.0
31118,Vans,Regular,Rear-Wheel Drive,21.974,Chevrolet,Manual 3-spd,8.0,5.0
31119,Vans,Regular,Rear-Wheel Drive,21.974,Chevrolet,Manual 4-spd,8.0,5.0
31120,Vans,Regular,Rear-Wheel Drive,23.5435714285714,Chevrolet,Automatic 4-spd,8.0,5.7
31121,Vans,Diesel,Rear-Wheel Drive,21.2325,Chevrolet,Automatic 4-spd,8.0,6.2
31122,Vans,Diesel,Rear-Wheel Drive,20.115,Chevrolet,Manual 4-spd,8.0,6.2
31123,Vans,Regular,Rear-Wheel Drive,21.974,Chevrolet,Automatic 4-spd,6.0,4.3
31124,Vans,Regular,Rear-Wheel Drive,19.3888235294118,Nissan,Automatic 4-spd,4.0,2.4
31125,Vans,Regular,Rear-Wheel Drive,18.3116666666667,Nissan,Manual 5-spd,4.0,2.4
31126,Compact Cars,Regular,Front-Wheel Drive,14.9822727272727,Subaru,Automatic 3-spd,4.0,1.8
31127,Vans,Regular,Rear-Wheel Drive,25.3546153846154,Dodge,Automatic 3-spd,6.0,3.7
31128,Vans,Regular,Rear-Wheel Drive,21.974,Dodge,Automatic 3-spd,6.0,3.7
31129,Vans,Regular,Rear-Wheel Drive,20.600625,Dodge,Manual 4-spd,6.0,3.7
31130,Vans,Regular,Rear-Wheel Drive,23.5435714285714,Dodge,Manual 4-spd,6.0,3.7
